implementacion,etiqueta,maquina,nodos,aristas,hilos,scheduling,chunk,repeticion,tiempo_ms,distancia,nodos_visitados,aristas_recorridas
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,1,112.4729,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,2,115.6232,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,3,114.2781,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,4,112.2737,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,5,114.8602,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,6,156.3016,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,7,157.5615,-1,2000000,31999928
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,1,154.7234,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,2,166.4271,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,3,158.3029,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,4,154.2316,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,5,156.3570,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,6,156.1568,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,7,152.5582,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,1,103.9839,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,2,92.4052,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,3,100.0374,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,4,93.7655,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,5,94.8549,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,6,98.9514,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,7,134.4816,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,1,76.9161,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,2,76.9746,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,3,74.8826,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,4,70.4630,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,5,75.6274,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,6,80.9906,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,7,81.0343,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,1,67.5883,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,2,68.4494,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,3,68.1128,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,4,63.7642,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,5,67.9686,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,6,66.0513,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,7,67.2138,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,1,50.2219,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,2,52.6015,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,3,58.9752,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,4,56.3029,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,5,60.6547,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,6,60.6411,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,6,dynamic,16,7,68.2130,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,1,44.9305,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,2,52.9089,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,3,68.4635,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,4,108.9252,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,5,65.8873,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,6,52.1462,5,1988541,12450125
paralelo,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,7,50.4921,5,1988541,12450125
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,1,132.3171,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,2,128.6166,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,3,150.6940,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,4,136.0570,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,5,141.2328,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,6,159.7421,-1,2000000,31999928
